First Year Degree Engineering - First Round - Closing Rank - Institute Wise (A.Y. 2024-25),,,,,,,
,,,,,,,
Inst_Name,Course_name,Alloted_Cat,Quota,Institute Type,First Rank,Last Rank,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",FOOD PROCESSING TECHNOLOGY,GEN,GUJCET-Based,Self-Finance,70.00,9497.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING - TFWS,TFWs,GUJCET-Based,Self-Finance,2166.00,2668.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER SCIENCE & DESIGN - TFW,TFWs,GUJCET-Based,Self-Finance,2625.00,4664.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY - TFWS,TFWs,GUJCET-Based,Self-Finance,2701.00,3430.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",FOOD PROCESSING TECHNOLOGY - TFWS,TFWs,GUJCET-Based,Self-Finance,3419.00,7907.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,GEN,GUJCET-Based,Self-Finance,3534.00,4413.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,GEN,GUJCET-Based,Self-Finance,3983.00,6011.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE - TFWS,TFWs,GUJCET-Based,Self-Finance,4175.00,4660.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,EWS,GUJCET-Based,Self-Finance,4440.00,4683.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,GEN,GUJCET-Based,Self-Finance,4697.00,7942.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,SEBC,GUJCET-Based,Self-Finance,5718.00,6703.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,EWS,GUJCET-Based,Self-Finance,6074.00,6429.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,SEBC,GUJCET-Based,Self-Finance,6081.00,10263.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER SCIENCE & DESIGN,GEN,GUJCET-Based,Self-Finance,6125.00,8534.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,EWS,GUJCET-Based,Self-Finance,8032.00,8135.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER SCIENCE & DESIGN,EWS,GUJCET-Based,Self-Finance,8605.00,8800.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRONICS & COMMUNICATION ENGINEERING,GEN,GUJCET-Based,Self-Finance,8697.00,11934.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER SCIENCE & DESIGN,SEBC,GUJCET-Based,Self-Finance,9350.00,15590.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",FOOD PROCESSING TECHNOLOGY,EWS,GUJCET-Based,Self-Finance,9707.00,16066.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,SEBC,GUJCET-Based,Self-Finance,10483.00,14230.00,
